player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Aaron Tshibola,2023,1,1,0,Congo DR,Right Defensive Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Abdalla Mahmoud El Said Bekhit,2018,0,2,0,Egypt,Center Attacking Midfield,10,0,0,African Cup of Nations,2018,2018,2018
Abdoul Fessal Tapsoba,2023,0,1,0,Burkina Faso,Left Wing,5,0,0,African Cup of Nations,2023,2023,2023
Abdoul Razack Guiebre,2023,0,2,0,Burkina Faso,Left Back,10,0,0,African Cup of Nations,2023,2023,2023
Ablie Jallow,2023,1,5,0,Gambia,Right Midfield,75,0,0,African Cup of Nations,2023,2023,2023
Aboubacar Traoré,2023,0,1,0,Mali,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Aboubakar Kamara,2023,0,2,0,Mauritania,Center Forward,10,0,0,African Cup of Nations,2023,2023,2023
Aboubakary Koita,2023,1,12,0,Mauritania,Center Attacking Midfield,110,0,0,African Cup of Nations,2023,2023,2023
Absalom Iimbondi,2023,0,1,0,Namibia,Right Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Adam Ounas,2023,0,2,0,Algeria,Right Wing,10,0,0,African Cup of Nations,2023,2023,2023
Adama Guira,2023,0,1,0,Burkina Faso,Right Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Adama Traoré,2023,0,6,0,Mali,Right Center Forward,30,0,0,African Cup of Nations,2023,2023,2023
Ademola Lookman,2023,3,8,0,Nigeria,Left Wing,190,0,0,African Cup of Nations,2023,2023,2023
Aguibou Camara,2023,1,5,0,Guinea,Center Attacking Midfield,75,0,0,African Cup of Nations,2023,2023,2023
Ahmed Elsayed Ali Elsayed Hegazy,2023,1,3,0,Egypt,Right Center Back,65,0,0,African Cup of Nations,2023,2023,2023
Ahmed Fathy Abdel Meneim Ibrahim,2018,0,1,0,Egypt,Right Back,5,0,0,African Cup of Nations,2018,2018,2018
Ahmed Mohamed Abo El Fotouh Mohamed,2023,0,3,0,Egypt,Left Back,15,0,0,African Cup of Nations,2023,2023,2023
Ahmed Musa,2018,2,4,0,Nigeria,Right Center Forward,120,0,0,African Cup of Nations,2018,2018,2018
Ahmed Sayed,2023,0,10,0,Egypt,Right Wing,50,0,0,African Cup of Nations,2023,2023,2023
Alasana Manneh,2023,0,2,0,Gambia,Right Center Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Alex Iwobi,2018,0,4,0,Nigeria,Left Defensive Midfield,20,0,0,African Cup of Nations,2018,2018,2018
Alex Iwobi,2023,0,7,0,Nigeria,Left Defensive Midfield,35,0,0,African Cup of Nations,2023,2023,2023
Alfa Semedo Esteves,2023,0,3,0,Guinea-Bissau,Right Center Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Alfons Amade,2023,0,2,0,Mozambique,Right Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Alfredo Kulembe Ribeiro,2023,0,4,0,Angola,Right Defensive Midfield,20,0,0,African Cup of Nations,2023,2023,2023
Alhassan Yusuf,2023,0,3,0,Nigeria,Right Center Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Ali Gabr,2018,0,1,0,Egypt,Right Center Back,5,0,0,African Cup of Nations,2018,2018,2018
Ali Sowe,2023,0,4,0,Gambia,Center Forward,20,0,0,African Cup of Nations,2023,2023,2023
Alieu Fadera,2023,0,3,0,Gambia,Left Defensive Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Aliou Dieng,2023,0,2,0,Mali,Right Center Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Amadou Dante,2023,0,1,0,Mali,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Amadou Haïdara,2023,0,9,0,Mali,Left Center Midfield,45,0,0,African Cup of Nations,2023,2023,2023
Ambrosini Antonio Cabaça Salvador,2023,1,7,0,Angola,Center Attacking Midfield,85,0,0,African Cup of Nations,2023,2023,2023
Amr Medhat Warda,2018,0,2,0,Egypt,Right Defensive Midfield,10,0,0,African Cup of Nations,2018,2018,2018
André-Frank Zambo Anguissa,2022,0,1,0,Cameroon,Right Center Midfield,5,0,0,African Cup of Nations,2022,2022,2022
André-Frank Zambo Anguissa,2023,0,1,0,Cameroon,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Aprocious Petrus,2023,0,2,0,Namibia,Center Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Arthur Masuaku,2023,1,7,0,Congo DR,Left Back,85,0,0,African Cup of Nations,2023,2023,2023
Assan Ceesay,2023,0,1,0,Gambia,Center Forward,5,0,0,African Cup of Nations,2023,2023,2023
Aubrey Maphosa Modiba,2023,1,6,0,South Africa,Left Back,80,0,0,African Cup of Nations,2023,2023,2023
Aïssa Mandi,2023,0,3,0,Algeria,Right Center Back,15,0,0,African Cup of Nations,2023,2023,2023
Baghdad Bounedjah,2023,3,9,0,Algeria,Center Forward,195,0,0,African Cup of Nations,2023,2023,2023
Bakari Camara,2023,0,1,0,Mauritania,Right Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Basilio Ndong Owono Nchamaaa,2023,0,1,0,Equatorial Guinea,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Bertrand Isidore Traoré,2023,3,11,0,Burkina Faso,Right Wing,205,0,0,African Cup of Nations,2023,2023,2023
Bethuel Muzeu,2023,0,3,0,Namibia,Right Wing,15,0,0,African Cup of Nations,2023,2023,2023
Bodda Mouhsine,2023,0,4,0,Mauritania,Right Defensive Midfield,20,0,0,African Cup of Nations,2023,2023,2023
Boubacar Traore,2023,0,1,0,Mali,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Boubakar Kouyate,2023,0,2,0,Mali,Right Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Bright Osayi-Samuel,2023,0,2,0,Nigeria,Right Back,10,0,0,African Cup of Nations,2023,2023,2023
Bruno Alberto Langa,2023,0,4,0,Mozambique,Left Wing Back,20,0,0,African Cup of Nations,2023,2023,2023
Bryan Mbeumo,2022,0,2,0,Cameroon,Right Midfield,10,0,0,African Cup of Nations,2022,2022,2022
Bryan Silva Teixera,2023,2,3,0,Cape Verde Islands,Center Forward,115,0,0,African Cup of Nations,2023,2023,2023
Calvin Bassey Ughelumba,2023,0,2,0,Nigeria,Left Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Chancel Mbemba Mangulu,2023,2,7,0,Congo DR,Right Center Back,135,0,0,African Cup of Nations,2023,2023,2023
Charles Pickel,2023,0,3,0,Congo DR,Right Defensive Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Christian Kouamé,2023,1,5,0,Côte d'Ivoire,Left Wing,75,0,0,African Cup of Nations,2023,2023,2023
Christopher Wooh,2022,0,1,0,Cameroon,Right Center Back,5,0,0,African Cup of Nations,2022,2022,2022
Christopher Wooh,2023,1,2,0,Cameroon,Center Back,60,0,0,African Cup of Nations,2023,2023,2023
Cletous Chama,2023,0,1,0,Zambia,Right Center Forward,5,0,0,African Cup of Nations,2023,2023,2023
Clésio Bauque,2023,1,1,0,Mozambique,Center Attacking Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Cristóvão Paciência Mabululo,2023,3,14,0,Angola,Center Forward,220,0,0,African Cup of Nations,2023,2023,2023
Cédric Badolo,2023,0,1,0,Burkina Faso,Left Wing,5,0,0,African Cup of Nations,2023,2023,2023
Cédric Bakambu,2023,1,10,0,Congo DR,Center Forward,100,0,0,African Cup of Nations,2023,2023,2023
Dango Aboubacar Faissal Ouattara,2023,0,4,0,Burkina Faso,Center Forward,20,0,0,African Cup of Nations,2023,2023,2023
Darlin Zidane Yongwa Ngameni,2023,0,1,0,Cameroon,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Deivi Miguel Vieira,2023,1,6,0,Angola,Right Wing,80,0,0,African Cup of Nations,2023,2023,2023
Denis Kibu,2023,0,1,0,Tanzania,Left Wing,5,0,0,African Cup of Nations,2023,2023,2023
Deon Hotto Kavendji,2023,1,4,0,Namibia,Left Midfield,70,0,0,African Cup of Nations,2023,2023,2023
Deroy Duarte,2023,0,5,0,Cape Verde Islands,Right Defensive Midfield,25,0,0,African Cup of Nations,2023,2023,2023
Djibril Cheick Ouattara,2023,0,1,0,Burkina Faso,Center Forward,5,0,0,African Cup of Nations,2023,2023,2023
Domingos João Macandza,2023,0,2,0,Mozambique,Right Back,10,0,0,African Cup of Nations,2023,2023,2023
Ebrima Colley,2023,1,1,0,Gambia,Center Attacking Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Ebrima Darboe,2023,0,1,0,Gambia,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Edmond Fayçal Tapsoba,2023,0,4,0,Burkina Faso,Left Center Back,20,0,0,African Cup of Nations,2023,2023,2023
Edson André Sitoe,2023,0,1,0,Mozambique,Right Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Edward Chilufya,2023,0,1,0,Zambia,Right Wing,5,0,0,African Cup of Nations,2023,2023,2023
El-Hadji Ba,2023,0,1,0,Mauritania,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Emam Ashour Metwally Abdelghany,2023,0,7,0,Egypt,Left Center Midfield,35,0,0,African Cup of Nations,2023,2023,2023
Emilio Nsue López,2023,5,9,0,Equatorial Guinea,Center Forward,295,0,0,African Cup of Nations,2023,2023,2023
Emmanuel Justine Rabby Banda,2023,0,4,0,Zambia,Left Center Midfield,20,0,0,African Cup of Nations,2023,2023,2023
Erickson Patrick Correia Andrade,2023,0,1,0,Cape Verde Islands,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Euciodálcio Gomes,2023,0,3,0,Guinea-Bissau,Center Attacking Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Evidence Makgopa,2023,1,13,0,South Africa,Center Forward,115,0,0,African Cup of Nations,2023,2023,2023
Facinet Conte,2023,0,2,0,Guinea,Left Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Faisal Salum Abdalla,2023,0,1,0,Tanzania,Center Attacking Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Fali Candé,2023,0,4,0,Guinea-Bissau,Left Back,20,0,0,African Cup of Nations,2023,2023,2023
Famana Quizera,2023,0,4,0,Guinea-Bissau,Right Wing,20,0,0,African Cup of Nations,2023,2023,2023
Fares Chaïbi,2023,0,3,0,Algeria,Right Center Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Fashion Sakala,2023,0,2,0,Zambia,Right Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Federico Bikoro Akieme Nchama,2023,0,1,0,Equatorial Guinea,Right Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Feliciano João Jone,2023,0,1,0,Mozambique,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Fernando de Lacerda Gomes,2023,0,2,0,Guinea-Bissau,Right Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Fiston Kalala Mayele,2023,0,5,0,Congo DR,Left Wing,25,0,0,African Cup of Nations,2023,2023,2023
Fousseni Diabaté,2023,0,2,0,Mali,Left Center Forward,10,0,0,African Cup of Nations,2023,2023,2023
Franck Yannick Kessié,2023,3,11,0,Côte d'Ivoire,Right Center Midfield,205,0,0,African Cup of Nations,2023,2023,2023
Franculino Gluda Djú,2023,0,2,0,Guinea-Bissau,Center Forward,10,0,0,African Cup of Nations,2023,2023,2023
Frank Magri,2023,1,6,0,Cameroon,Center Forward,80,0,0,African Cup of Nations,2023,2023,2023
Frank Onyeka,2023,0,6,0,Nigeria,Right Defensive Midfield,30,0,0,African Cup of Nations,2023,2023,2023
François Kamano,2023,0,1,0,Guinea,Left Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Garry Mendes Rodrigues,2023,1,9,0,Cape Verde Islands,Left Wing,95,0,0,African Cup of Nations,2023,2023,2023
Gaël Kakuta,2023,0,8,0,Congo DR,Center Attacking Midfield,40,0,0,African Cup of Nations,2023,2023,2023
Gedeon Kalulu Kyatengwa,2023,1,2,0,Congo DR,Right Back,60,0,0,African Cup of Nations,2023,2023,2023
Geny Cipriano Catamo,2023,1,4,0,Mozambique,Right Attacking Midfield,70,0,0,African Cup of Nations,2023,2023,2023
Georges-Kévin Nkoudou Mbida,2022,0,1,0,Cameroon,Left Wing,5,0,0,African Cup of Nations,2022,2022,2022
Georges-Kévin Nkoudou Mbida,2023,0,6,0,Cameroon,Left Wing,30,0,0,African Cup of Nations,2023,2023,2023
Ghislain Konan,2023,0,1,0,Côte d'Ivoire,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Gildo Lourenço Vilanculos,2023,0,3,0,Mozambique,Left Wing,15,0,0,African Cup of Nations,2023,2023,2023
Gilson Benchimol Tavares,2023,1,6,0,Cape Verde Islands,Center Forward,80,0,0,African Cup of Nations,2023,2023,2023
Grady Diangana,2023,1,3,0,Congo DR,Center Attacking Midfield,65,0,0,African Cup of Nations,2023,2023,2023
Guessouma Fofana,2023,0,1,0,Mauritania,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Gustavo Fabrice Sangaré,2023,0,1,0,Burkina Faso,Right Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Hamari Traoré,2023,1,3,0,Mali,Right Back,65,0,0,African Cup of Nations,2023,2023,2023
Hamdi Fathi,2023,0,7,0,Egypt,Left Defensive Midfield,35,0,0,African Cup of Nations,2023,2023,2023
Hemeya Tanjy,2023,0,4,0,Mauritania,Left Midfield,20,0,0,African Cup of Nations,2023,2023,2023
Henoc Inonga Baka,2023,1,2,0,Congo DR,Left Center Back,60,0,0,African Cup of Nations,2023,2023,2023
Hichem Boudaoui,2023,0,3,0,Algeria,Right Center Midfield,15,0,0,African Cup of Nations,2023,2023,2023
Houssem Aouar,2023,0,1,0,Algeria,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Abdallah Hamad,2023,0,1,0,Tanzania,Left Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Blati Touré,2023,0,1,0,Burkina Faso,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Diakité,2023,0,1,0,Guinea,Right Back,5,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Sangaré,2023,0,5,0,Côte d'Ivoire,Right Center Midfield,25,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Sissoko,2023,0,1,0,Mali,Left Center Forward,5,0,0,African Cup of Nations,2023,2023,2023
Ibán Salvador Edu,2023,1,2,0,Equatorial Guinea,Right Wing,60,0,0,African Cup of Nations,2023,2023,2023
Idrissa Thiam,2023,0,4,0,Mauritania,Left Wing,20,0,0,African Cup of Nations,2023,2023,2023
Infren Da Conceição David Matola,2023,0,1,0,Mozambique,Right Back,5,0,0,African Cup of Nations,2023,2023,2023
Islam Slimani,2023,0,2,0,Algeria,Center Forward,10,0,0,African Cup of Nations,2023,2023,2023
Ismael Bennacer,2023,0,1,0,Algeria,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Issa Kabore,2023,0,1,0,Burkina Faso,Right Back,5,0,0,African Cup of Nations,2023,2023,2023
Issiaga Sylla,2023,0,1,0,Guinea,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Issoufou Dayo,2023,0,2,0,Burkina Faso,Right Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Jacinto Muondo Dala,2023,4,9,0,Angola,Left Wing,245,0,0,African Cup of Nations,2023,2023,2023
Jacob Mendy,2023,0,1,0,Gambia,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
James Gomez,2023,0,1,0,Gambia,Right Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Jamiro Gregory Monteiro Alvarenga,2023,1,3,0,Cape Verde Islands,Left Center Midfield,65,0,0,African Cup of Nations,2023,2023,2023
Jannick Buyla Sam,2023,1,1,0,Equatorial Guinea,Left Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Jayden Adams,2023,0,1,0,South Africa,Right Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Jean Michaël Seri,2023,0,2,0,Côte d'Ivoire,Center Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Jean Thierry Lazare Amani,2023,0,1,0,Côte d'Ivoire,Center Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Jean-Charles Castelletto,2022,1,1,0,Cameroon,Right Center Back,55,0,0,African Cup of Nations,2022,2022,2022
Jean-Charles Castelletto,2023,1,2,0,Cameroon,Left Center Back,60,0,0,African Cup of Nations,2023,2023,2023
Jean-Eric Maxim Choupo-Moting,2022,1,3,0,Cameroon,Center Forward,65,0,0,African Cup of Nations,2022,2022,2022
Jean-Philippe Krasso,2023,1,7,0,Côte d'Ivoire,Center Forward,85,0,0,African Cup of Nations,2023,2023,2023
Jefferson Anilson Silva Encada,2023,0,2,0,Guinea-Bissau,Right Back,10,0,0,African Cup of Nations,2023,2023,2023
Jeremie Boga,2023,0,1,0,Côte d'Ivoire,Right Wing,5,0,0,African Cup of Nations,2023,2023,2023
Joe Aribo,2023,0,1,0,Nigeria,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Jonathan Buatu Mananga,2023,0,3,0,Angola,Left Center Back,15,0,0,African Cup of Nations,2023,2023,2023
Joris Kayembe Ditu,2023,1,1,0,Congo DR,Left Back,55,0,0,African Cup of Nations,2023,2023,2023
José Antonio Miranda Boacho,2023,1,3,0,Equatorial Guinea,Left Wing,65,0,0,African Cup of Nations,2023,2023,2023
José Correia,2023,1,4,0,Guinea-Bissau,Right Wing,70,0,0,African Cup of Nations,2023,2023,2023
José Nabil Onva Adjugu,2023,0,1,0,Equatorial Guinea,Left Wing,5,0,0,African Cup of Nations,2023,2023,2023
José Ndong Machín Dicombo,2023,0,2,0,Equatorial Guinea,Center Attacking Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Jovane Eduardo Borges Cabral,2023,0,9,0,Cape Verde Islands,Left Wing,45,0,0,African Cup of Nations,2023,2023,2023
João Paulo Moreira Fernandes,2023,0,4,0,Cape Verde Islands,Left Back,20,0,0,African Cup of Nations,2023,2023,2023
Juan José Óscar Siafá Etoha,2023,0,1,0,Equatorial Guinea,Center Forward,5,0,0,African Cup of Nations,2023,2023,2023
Jules Olivier Ntcham,2022,0,1,0,Cameroon,Right Defensive Midfield,5,0,0,African Cup of Nations,2022,2022,2022
Jules Olivier Ntcham,2023,0,5,0,Cameroon,Right Center Midfield,25,0,0,African Cup of Nations,2023,2023,2023
Julian Jeanvier,2023,0,4,0,Guinea,Left Center Back,20,0,0,African Cup of Nations,2023,2023,2023
Jérémy Bela,2023,0,1,0,Angola,Left Midfield,5,0,0,African Cup of Nations,2023,2023,2023
